Day_of_Week,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Causes_D,Road_Feature_E,Road_Condition_F,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Year,Month,Day,Hour
5,2,482.25,1,2,4,1,1,6,5.0,2017.0,3.0,2.0,21
3,2,178.5,1,3,2,4,9,5,5.0,2013.0,2.0,10.0,12
7,2,223.1,2,4,4,1,1,11,5.0,2018.0,6.0,5.0,1
6,2,170.05,1,2,4,1,1,6,5.0,2017.0,5.0,8.0,6
5,2,177.0,1,2,4,1,9,1,5.0,2017.0,7.0,6.0,1
4,1,490.15,2,3,4,1,1,5,5.0,2017.0,7.0,6.0,9
4,1,501.2,2,3,4,1,1,6,8.0,2016.0,7.0,4.0,8
7,2,222.02,1,4,4,1,1,11,5.0,2022.0,9.0,7.0,17
3,2,52.6,1,4,4,1,1,6,5.0,2017.0,7.0,6.0,14
6,2,703.495,2,2,4,1,1,5,5.0,2017.0,7.0,6.0,18
1,2,234.8,2,3,4,1,10,5,5.0,2017.0,7.0,6.0,16
5,2,413.58,1,4,4,1,10,5,5.0,2017.0,7.0,6.0,7
5,2,234.6,1,2,4,3,2,6,5.0,2015.0,10.0,7.0,16
4,2,434.96,1,4,4,1,3,9,5.0,2017.0,7.0,6.0,7
1,2,152.4,2,3,4,1,1,11,5.0,2017.0,7.0,6.0,9
3,2,152.3,1,1,2,1,8,11,5.0,2014.0,12.0,3.0,4
6,2,190.5,1,1,2,1,10,11,5.0,2017.0,7.0,6.0,5
